Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M211.CEF.P82P37P7R.yng.804FSL5_27a,M211,CEF,R,yng,804FSL5_27a
M211.PPR.P83P38P2R.yng.804FSL5_27a,M211,PPR,R,yng,804FSL5_27a
M211.Col.P84P39P3R.yng.926FSL5_27a,M211,Col,R,yng,926FSL5_27a
C21.Ct.P48P4P5R.old.926FC1_27a,C21,Ct,R,old,926FC1_27a
M211.CEF.P85P40P7R.yng.926FSL5_27a,M211,CEF,R,yng,926FSL5_27a
M211.PPR.P86P41P2R.yng.926FSL5_27a,M211,PPR,R,yng,926FSL5_27a
M211.Col.P87P42P3R.yng.SL5_27a,M211,Col,R,yng,SL5_27a
M211.CEF.P88P43P7R.yng.SL5_27a,M211,CEF,R,yng,SL5_27a
M211.PPR.P89P44P2R.yng.SL5_27a,M211,PPR,R,yng,SL5_27a
C21.Ler.P50P6P1E.old.926FC1_27a,C21,Ler,E,old,926FC1_27a
M21.Col.P143P142P141P140P5E.yng.M1_28b,M21,Col,E,yng,M1_28b
M21.Cvi.P183P181P180P179P178P174P12E.yng.M1_29a,M21,Cvi,E,yng,M1_29a
M21.Soil.9_2S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.1S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.2S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.3S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.4S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.5S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.6S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.8S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.9S.yng.M1_27b,M21,Soil,S,yng,M1_27b
M21.Soil.8_2S.yng.M1_27b,M21,Soil,S,yng,M1_27b
C21.Soil.1S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.2S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.2_2S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.3S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.4S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.5S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.6S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.7S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.8S.old.C2_39a,C21,Soil,S,old,C2_39a
C21.Soil.9S.old.C2_39a,C21,Soil,S,old,C2_39a
M21.Col.1R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.2R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.3R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.4R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.5R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.6R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.8R.yng.M1_27b,M21,Col,R,yng,M1_27b
M21.Col.10R.yng.M1_27b,M21,Col,R,yng,M1_27b
C21.Ler.4R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.5R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.5_2R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.6R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.7R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.9R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.10R.old.C2_39b,C21,Ler,R,old,C2_39b
C21.Ler.1R.old.C2_39a,C21,Ler,R,old,C2_39a
C21.Ler.2R.old.C2_39a,C21,Ler,R,old,C2_39a
C21.Ler.3R.old.C2_39a,C21,Ler,R,old,C2_39a
C21.Mt.1R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.2R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.3R.old.C2_39b,C21,Mt,R,old,C2_39b
C21.Mt.5R.old.C2_39b,C21,Mt,R,old,C2_39b
