Sample,Soil Type,Arabidopsis,Treatment,Developmental,BiologicalOrExperimentalRep
M21.Mt.5R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.6R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.7R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.8R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.8_2R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Mt.10R.old.M1_30b,M21,Mt,R,old,M1_30b
M21.Oy.2R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.3R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.4R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.5R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.6R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.7R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.8R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.9R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Oy.10R.old.M1_30b,M21,Oy,R,old,M1_30b
M21.Sha.3R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.4R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.5R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.6R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.7R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.7_2R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.8R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.9R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.10_1R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Sha.10_2R.old.M1_30b,M21,Sha,R,old,M1_30b
M21.Tsu.1R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.2_2R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.4R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.5R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.6R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.7R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.8R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.10R.old.M1_30b,M21,Tsu,R,old,M1_30b
M21.Tsu.XR.old.M1_30b,M21,Tsu,R,old,M1_30b
C21.Col.1R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.2R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.3R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.4R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.5R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.6R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.7R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.8R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.9R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.10R.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Col.XR.yng.C1_31a,C21,Col,R,yng,C1_31a
C21.Ct.1R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.2R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.3R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.4R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.5R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.6R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.7R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.8R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.9R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.10R.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Ct.XR.yng.C1_31a,C21,Ct,R,yng,C1_31a
C21.Cvi.1R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.2R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.3R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.4R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.5R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.6R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.7R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.9R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Cvi.10R.yng.C1_31a,C21,Cvi,R,yng,C1_31a
C21.Ler.1R.yng.C1_31a,C21,Ler,R,yng,C1_31a
C21.Ler.2R.yng.C1_31a,C21,Ler,R,yng,C1_31a
C21.Ler.3R.yng.C1_31a,C21,Ler,R,yng,C1_31a
C21.Ler.4R.yng.C1_31a,C21,Ler,R,yng,C1_31a
C21.Ler.5R.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Ler.xR.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Ler.7R.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Ler.8R.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Ler.10R.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Ler.11R.yng.C1_31b,C21,Ler,R,yng,C1_31b
C21.Soil.1S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.2_1S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.2_2S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.2_3S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.3S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.4S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.5S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.6S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.XS.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Soil.9S.yng.C1_31a,C21,Soil,S,yng,C1_31a
C21.Mt.1R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.2R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.3R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.5R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.XR.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.6R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.7R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.8R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.9R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Mt.10R.yng.C1_31b,C21,Mt,R,yng,C1_31b
C21.Oy.1R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.2R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.3R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.4R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.6_1R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.6_2R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.7R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.8R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.9R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Oy.10R.yng.C1_31b,C21,Oy,R,yng,C1_31b
C21.Sha.1R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.2R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.3R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.5R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.7R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.8R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.9R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.10R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.11R.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Sha.XR.yng.C1_31b,C21,Sha,R,yng,C1_31b
C21.Tsu.1R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.2R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.4R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.5R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.6R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.8R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.9R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Tsu.10R.yng.C1_31b,C21,Tsu,R,yng,C1_31b
C21.Col.2R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.4R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.5R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.6R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.7R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.8R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.9R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Col.10R.old.C1_32a,C21,Col,R,old,C1_32a
C21.Ct.1R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.2R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.3R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.4R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.6R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.7R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.8R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.9R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Ct.10R.old.C1_32a,C21,Ct,R,old,C1_32a
C21.Cvi.1R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.2R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.3R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.4R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.5R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.7R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.8R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.9R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Cvi.10R.old.C1_32a,C21,Cvi,R,old,C1_32a
C21.Ler.2R.old.C1_32a,C21,Ler,R,old,C1_32a
C21.Ler.3R.old.C1_32a,C21,Ler,R,old,C1_32a
C21.Ler.4R.old.C1_32a,C21,Ler,R,old,C1_32a
C21.Ler.5R.old.C1_32a,C21,Ler,R,old,C1_32a
C21.Ler.6R.old.C1_32b,C21,Ler,R,old,C1_32b
C21.Ler.7R.old.C1_32b,C21,Ler,R,old,C1_32b
C21.Ler.8R.old.C1_32b,C21,Ler,R,old,C1_32b
C21.Ler.9R.old.C1_32b,C21,Ler,R,old,C1_32b
C21.Ler.10R.old.C1_32b,C21,Ler,R,old,C1_32b
C21.Soil.1S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.2S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.4S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.5S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.6S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.7S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.8S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.9S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Soil.10S.old.C1_32a,C21,Soil,S,old,C1_32a
C21.Mt.1R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.2R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.3R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.4R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.5R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.7R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.8R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.9R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Mt.10R.old.C1_32b,C21,Mt,R,old,C1_32b
C21.Oy.1R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.2R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.3R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.4R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.5R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.6R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.7R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.8R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.9R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Oy.10R.old.C1_32b,C21,Oy,R,old,C1_32b
C21.Sha.1R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.2R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.3R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.4R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.5R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.6R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.7R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.8R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.9R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Sha.10R.old.C1_32b,C21,Sha,R,old,C1_32b
C21.Tsu.1R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.2R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.3R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.4R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.5R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.7R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.8R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.9R.old.C1_32b,C21,Tsu,R,old,C1_32b
C21.Tsu.10R.old.C1_32b,C21,Tsu,R,old,C1_32b
M21.Col.3E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Col.5E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Col.7E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Col.8E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Col.9E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Col.10E.old.M1_35a,M21,Col,E,old,M1_35a
M21.Ct.1E.old.M1_35a,M21,Ct,E,old,M1_35a
M21.Ct.2E.old.M1_35a,M21,Ct,E,old,M1_35a
M21.Ct.4E.old.M1_35a,M21,Ct,E,old,M1_35a
M21.Ct.7E.old.M1_35a,M21,Ct,E,old,M1_35a
M21.Ct.8E.old.M1_35a,M21,Ct,E,old,M1_35a
M21.Ler.2E.old.M1_35a,M21,Ler,E,old,M1_35a
M21.Ler.3E.old.M1_35a,M21,Ler,E,old,M1_35a
M21.Ler.4E.old.M1_35a,M21,Ler,E,old,M1_35a
M21.Ler.5_1E.old.M1_35a,M21,Ler,E,old,M1_35a
M21.Ler.8E.old.M1_35b,M21,Ler,E,old,M1_35b
M21.Ler.8_2E.old.M1_35b,M21,Ler,E,old,M1_35b
M21.Ler.9E.old.M1_35b,M21,Ler,E,old,M1_35b
M21.Ler.10E.old.M1_35b,M21,Ler,E,old,M1_35b
M21.Mt.3E.old.M1_35b,M21,Mt,E,old,M1_35b
M21.Mt.7E.old.M1_35b,M21,Mt,E,old,M1_35b
M21.Mt.8_1E.old.M1_35b,M21,Mt,E,old,M1_35b
M21.Mt.9E.old.M1_35b,M21,Mt,E,old,M1_35b
M21.Mt.10E.old.M1_35b,M21,Mt,E,old,M1_35b
M21.Oy.3E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.4E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.5E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.6E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.8E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.9E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Oy.10E.old.M1_35b,M21,Oy,E,old,M1_35b
M21.Sha.1E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.2E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.3E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.6E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.7E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.8E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.9E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.10_1E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Sha.10_2E.old.M1_35b,M21,Sha,E,old,M1_35b
M21.Tsu.1E.old.M1_35b,M21,Tsu,E,old,M1_35b
M21.Tsu.2E.old.M1_35b,M21,Tsu,E,old,M1_35b
M21.Tsu.4E.old.M1_35b,M21,Tsu,E,old,M1_35b
M21.Tsu.6E.old.M1_35b,M21,Tsu,E,old,M1_35b
M21.Tsu.8E.old.M1_35b,M21,Tsu,E,old,M1_35b
C21.Ler.xE.yng.C1_36b,C21,Ler,E,yng,C1_36b
C21.Mt.8E.yng.C1_36b,C21,Mt,E,yng,C1_36b
C21.Oy.6_2E.yng.C1_36b,C21,Oy,E,yng,C1_36b
C21.Oy.8E.yng.C1_36b,C21,Oy,E,yng,C1_36b
C21.Sha.7E.yng.C1_36b,C21,Sha,E,yng,C1_36b
C21.Ler.2E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.3E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.5E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.6E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.7E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.9E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Ler.10E.old.C1_37a,C21,Ler,E,old,C1_37a
C21.Mt.1E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.3E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.4E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.5E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.6E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.7E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Mt.8E.old.C1_37a,C21,Mt,E,old,C1_37a
C21.Oy.1E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Oy.2E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Oy.3E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Oy.5E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Oy.9E.old.C1_37b,C21,Oy,E,old,C1_37b
C21.Sha.3E.old.C1_37b,C21,Sha,E,old,C1_37b
C21.Sha.4E.old.C1_37b,C21,Sha,E,old,C1_37b
C21.Sha.5E.old.C1_37b,C21,Sha,E,old,C1_37b
C21.Sha.10E.old.C1_37b,C21,Sha,E,old,C1_37b
C21.Tsu.1E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Tsu.2E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Tsu.3_2E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Tsu.4E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Tsu.8E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Tsu.9E.old.C1_37b,C21,Tsu,E,old,C1_37b
C21.Ct.6_2E.yng.C2_38a,C21,Ct,E,yng,C2_38a
C21.Ct.10E.yng.C2_38a,C21,Ct,E,yng,C2_38a
C21.Ler.1E.yng.C2_38a,C21,Ler,E,yng,C2_38a
C21.Ler.3E.yng.C2_38a,C21,Ler,E,yng,C2_38a
C21.Ler.6E.yng.C2_38a,C21,Ler,E,yng,C2_38a
C21.Mt.3E.yng.C2_38a,C21,Mt,E,yng,C2_38a
C21.Sha.2E.yng.C2_38b,C21,Sha,E,yng,C2_38b
C21.Tsu.1E.yng.C2_38b,C21,Tsu,E,yng,C2_38b
C21.Col.1R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.2R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.3R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.4R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.5R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.6R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.7R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.8R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Col.9R.old.C2_39a,C21,Col,R,old,C2_39a
C21.Ct.1R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.2R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.3R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.4R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.5R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.7R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.8R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.9R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Ct.10R.old.C2_39a,C21,Ct,R,old,C2_39a
C21.Cvi.1R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.2R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.2_2R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.3R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.5R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.8R.old.C2_39a,C21,Cvi,R,old,C2_39a
C21.Cvi.11R.old.C2_39a,C21,Cvi,R,old,C2_39a
